date | value
2019-01-02 
2131-04-21 |
2030-05-20 | 
2015-13-22 | 1
0000-01-23 | 1
12-10-01 | 1
21-09-2009 | 1
10-30-2008 | 1
30-2004-08 | 1
2015-08-2-1 | 1
20030-05-12 | 1
2014--02-10 | 1
2015-05-11 -1 | 1
2014-04-21 4 |
2014- 05 -30 | 1
2014- 05-30 | 1
2014-05 -30 | 1
2014-03-40 | 1
2014-07- | 1
2014-7-12 | 1
2014-07-1 | 1
2014-30 | 1
-2015-01-02 | 1
13 | 2014-03-06
14 | 15
2010-05-09 | 1001
2010-05-09 | -1
2010-05-09 | 2000000000000000
200000000000000000000000000000000000000-01-13 | 1
2013-06-13 | 1.3.0
2014-09-30 | 1-
2014-09-30 | 1p
2014-09-30 | 1 
2014-09-30 | 1A
2014-09-30 |  1
2014-09-30 | P
2014-09-30 | .1
2014-09-30 | 1..1
2014-09-30 | 1.1.
1990-02-29 | 1

2015-03-20 | 2u0
